"Date";"DeviceTypeId";"CampaignId";"CampaignName";"Clicks";"Shows";"Cost";"QualityScore";"AdNetworkType2"
01.10.2020;2;9305360355;"CampaignName_3";3,0;6,0;67,342;8;"Google search"
01.10.2020;2;9305360355;"CampaignName_3";3,0;16,0;39,254;8;"Google search"
01.10.2020;2;9305360355;"CampaignName_3";0,0;3,0;0,0;8;"Google search"
01.10.2020;2;9305360355;"CampaignName_3";2,0;8,0;24,478;8;"Google search"
01.10.2020;2;9305360355;"CampaignName_3";0,0;2,0;0,0;8;"Google search"
01.10.2020;2;9305360361;"CampaignName_4";0,0;3,0;0,0;9;"Google search"
01.10.2020;2;9305360361;"CampaignName_4";1,0;2,0;8,573;8;"Google search"
01.10.2020;2;9305360361;"CampaignName_4";0,0;2,0;0,0;8;"Google search"
01.10.2020;1;9305360580;"CampaignName_2";1,0;5,0;4,85;8;"Google search"
01.10.2020;3;9305360580;"CampaignName_2";0,0;2,0;0,0;8;"Google search"
01.10.2020;2;9305360589;"CampaignName_1";0,0;2,0;0,0;8;"Search partners"
01.10.2020;1;9305360355;"CampaignName_3";1,0;6,0;30,47;9;"Google search"
01.10.2020;2;9305360355;"CampaignName_3";17,0;32,0;126,336;9;"Google search"
01.10.2020;1;9305360355;"CampaignName_3";0,0;2,0;0,0;8;"Google search"
01.10.2020;3;9305360355;"CampaignName_3";0,0;2,0;0,0;10;"Google search"
01.10.2020;1;9305360361;"CampaignName_4";1,0;2,0;125,871;8;"Google search"
01.10.2020;1;9305360361;"CampaignName_4";0,0;2,0;0,0;9;"Google search"
01.10.2020;2;9305360361;"CampaignName_4";1,0;6,0;0,155;9;"Google search"
01.10.2020;2;9305360580;"CampaignName_2";0,0;2,0;0,0;8;"Google search"
01.10.2020;2;9305360580;"CampaignName_2";0,0;2,0;0,0;8;"Google search"
01.10.2020;1;9305360589;"CampaignName_1";1,0;3,0;27,269;8;"Google search"
01.10.2020;2;9305360355;"CampaignName_3";0,0;2,0;0,0;9;"Google search"
01.10.2020;2;9305360355;"CampaignName_3";2,0;2,0;34,601;8;"Google search"
01.10.2020;2;9305360355;"CampaignName_3";0,0;21,0;0,0;8;"Search partners"
01.10.2020;2;9305360361;"CampaignName_4";2,0;6,0;0,31;8;"Google search"
01.10.2020;2;9305360361;"CampaignName_4";0,0;5,0;0,0;8;"Search partners"
01.10.2020;2;9305360361;"CampaignName_4";0,0;2,0;0,0;9;"Search partners"
01.10.2020;2;9305360361;"CampaignName_4";1,0;2,0;13,254;8;"Google search"
01.10.2020;1;9305360580;"CampaignName_2";1,0;2,0;79,989;8;"Google search"
01.10.2020;2;9305360580;"CampaignName_2";0,0;2,0;0,0;9;"Google search"
01.10.2020;2;9305360589;"CampaignName_1";0,0;5,0;0,0;8;"Google search"
01.10.2020;1;9305360355;"CampaignName_3";0,0;3,0;0,0;8;"Google search"
01.10.2020;2;9305360355;"CampaignName_3";0,0;5,0;0,0;8;"Search partners"
01.10.2020;2;9305360355;"CampaignName_3";0,0;3,0;0,0;9;"Search partners"
01.10.2020;1;9305360355;"CampaignName_3";1,0;3,0;18,838;8;"Google search"
01.10.2020;2;9305360355;"CampaignName_3";0,0;5,0;0,0;8;"Search partners"
01.10.2020;2;9305360355;"CampaignName_3";0,0;10,0;0,0;8;"Search partners"
01.10.2020;1;9305360355;"CampaignName_3";2,0;5,0;33,657;10;"Google search"
01.10.2020;2;9305360355;"CampaignName_3";1,0;5,0;11,604;10;"Google search"
01.10.2020;1;9305360580;"CampaignName_2";1,0;6,0;19,021;8;"Google search"
01.10.2020;2;9305360580;"CampaignName_2";6,0;10,0;38,451;8;"Google search"
01.10.2020;1;9305360580;"CampaignName_2";1,0;3,0;1,946;8;"Google search"
01.10.2020;2;9305360580;"CampaignName_2";0,0;3,0;0,0;8;"Search partners"
01.10.2020;2;9305360589;"CampaignName_1";1,0;5,0;0,381;9;"Google search"
02.10.2020;2;9305360355;"CampaignName_3";0,0;2,0;0,0;8;"Search partners"
02.10.2020;2;9305360355;"CampaignName_3";15,0;42,0;150,926;9;"Google search"
02.10.2020;2;9305360355;"CampaignName_3";0,0;5,0;0,0;8;"Search partners"
02.10.2020;1;9305360355;"CampaignName_3";0,0;2,0;0,0;9;"Google search"
02.10.2020;2;9305360355;"CampaignName_3";1,0;2,0;8,869;9;"Google search"
02.10.2020;2;9305360355;"CampaignName_3";0,0;2,0;0,0;9;"Search partners"
02.10.2020;3;9305360355;"CampaignName_3";2,0;3,0;21,249;8;"Google search"
02.10.2020;2;9305360355;"CampaignName_3";0,0;2,0;0,0;8;"Search partners"
02.10.2020;1;9305360355;"CampaignName_3";1,0;6,0;49,153;10;"Google search"
02.10.2020;2;9305360361;"CampaignName_4";1,0;5,0;9,715;9;"Google search"
02.10.2020;1;9305360580;"CampaignName_2";0,0;2,0;0,0;8;"Google search"
02.10.2020;1;9305360580;"CampaignName_2";2,0;6,0;36,195;8;"Google search"
02.10.2020;1;9305360580;"CampaignName_2";0,0;2,0;0,0;8;"Google search"
02.10.2020;2;9305360580;"CampaignName_2";1,0;3,0;20,05;8;"Google search"
02.10.2020;1;9305360580;"CampaignName_2";0,0;2,0;0,0;6;"Google search"
