departure_city	arrival_city	countflight
Москва	Новосибирск	15 049
Москва	Сочи	12 521
Санкт-Петербург	Москва	10 282
Москва	Санкт-Петербург	9 629
Москва	Екатеринбург	8 200
Москва	Пермь	8 036
Новосибирск	Москва	8 028
Екатеринбург	Москва	6 182
Москва	Брянск	5 676
Москва	Ульяновск	5 248
Москва	Хабаровск	5 181
Москва	Краснодар	5 085
Сочи	Москва	5 028
Москва	Ростов-на-Дону	4 812
Москва	Калининград	4 297
Москва	Махачкала	4 217
Москва	Самара	3 804
Москва	Волгоград	3 580
Москва	Уфа	3 553
Уфа	Москва	3 526
Краснодар	Москва	3 209
Москва	Новый Уренгой	3 202
Екатеринбург	Сыктывкар	3 025
Москва	Чебоксары	3 011
Москва	Красноярск	2 955
Москва	Нижний Новгород	2 944
Москва	Киров	2 898
Москва	Минеральные Воды	2 810
Москва	Анапа	2 672
Москва	Казань	2 651
Самара	Москва	2 648
Москва	Южно-Сахалинск	2 596
Москва	Тюмень	2 471
Хабаровск	Москва	2 450
Москва	Ханты-Мансийск	2 422
Москва	Норильск	2 396
Москва	Челябинск	2 345
Минеральные Воды	Москва	2 287
Москва	Белгород	2 262
Москва	Омск	2 197
Анапа	Москва	2 086
Калининград	Москва	2 036
Москва	Советский	1 913
Москва	Оренбург	1 887
Красноярск	Москва	1 877
Москва	Петрозаводск	1 868
Москва	Томск	1 781
Южно-Сахалинск	Москва	1 763
Чебоксары	Москва	1 729
Москва	Нарьян-Мар	1 719
Казань	Москва	1 708
Ростов-на-Дону	Москва	1 671
Москва	Кемерово	1 669
Тюмень	Москва	1 651
Москва	Москва	1 607
Москва	Барнаул	1 603
Новый Уренгой	Москва	1 564
Москва	Архангельск	1 527
Москва	Курган	1 497
Новосибирск	Киров	1 496
Уфа	Элиста	1 479
Махачкала	Москва	1 479
Москва	Урай	1 472
Москва	Бугульма	1 472
Красноярск	Советский	1 406
Омск	Москва	1 397
Челябинск	Москва	1 390
Иркутск	Казань	1 374
Москва	Мирный	1 372
Москва	Нижневартовск	1 356
Санкт-Петербург	Киров	1 342
Брянск	Москва	1 340
Москва	Астрахань	1 337
Москва	Владикавказ	1 336
Москва	Сыктывкар	1 316
Санкт-Петербург	Санкт-Петербург	1 250
Тюмень	Урай	1 211
Москва	Мурманск	1 182
Владивосток	Москва	1 178
Москва	Иркутск	1 168
Владивосток	Хабаровск	1 158
Москва	Воркута	1 141
Санкт-Петербург	Иркутск	1 129
Хабаровск	Санкт-Петербург	1 128
Мурманск	Москва	1 108
Москва	Саратов	1 089
Кемерово	Москва	1 081
Чебоксары	Санкт-Петербург	1 038
Санкт-Петербург	Хабаровск	1 034
Пермь	Москва	1 024
Пермь	Ульяновск	1 020
Томск	Москва	1 004
Москва	Геленджик	1 001
Барнаул	Москва	974
Сургут	Советский	965
Москва	Элиста	945
Новокузнецк	Новосибирск	922
Челябинск	Волгоград	921
Владикавказ	Москва	911
Астрахань	Москва	867
Москва	Братск	844
Минеральные Воды	Пермь	836
Москва	Петропавловск-Камчатский	828
Нижний Новгород	Санкт-Петербург	826
Пермь	Пермь	816
Архангельск	Москва	807
Москва	Магнитогорск	805
Москва	Владивосток	800
Москва	Нальчик	792
Волгоград	Москва	785
Самара	Сочи	784
Москва	Ставрополь	757
Нижневартовск	Москва	756
Минеральные Воды	Махачкала	754
Санкт-Петербург	Казань	745
Саратов	Москва	744
Москва	Ноябрьск	733
Ульяновск	Москва	728
Ульяновск	Ульяновск	720
Москва	Саранск	696
Геленджик	Москва	685
